设备信息
设备型号：Redmi 4
系统版本：6.0.1
GPU信息： Qualcomm, Adreno (TM) 506, OpenGL ES 3.1 V@145.0 (GIT@I74772a33ad)
设备内存：2.78G
屏幕分辨率：1080x1920
应用程序分辨率：1080x1920
屏幕密度：480dpi
电池健康情况：health

安装报告：
安装失败  INSTALL_FAILED_ALREADY_EXISTS
2020-04-28 17:58:22
该次安装结果不计入整体报告
电量使用报告:
共耗电12.2mA，详细耗电情况为 cpu=12.2 sensor=0.0106

CPU占有率报告:
+--------------+--------+---------+-----------+------------------------+---------------------+
| serialNumber | CPU(%) | user(%) | kernel(%) |         faults         |      timestamp      |
|      50      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:53 |
|      51      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:56 |
|      52      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:00:59 |
|      53      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:02 |
|      54      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:05 |
|      55      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:08 |
|      56      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:11 |
|      57      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:14 |
|      58      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:17 |
|      59      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:20 |
|      60      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:23 |
|      61      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:26 |
|      62      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:29 |
|      63      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:32 |
|      64      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:36 |
|      65      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:39 |
|      66      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:42 |
|      67      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:45 |
|      68      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:48 |
|      69      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:51 |
|      70      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:54 |
|      71      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:01:57 |
|      72      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:02:00 |
|      73      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:02:03 |
|      74      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:02:06 |
|      75      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:02:09 |
|      76      |   24   |    20   |    4.1    |       35149 minor      | 2020-04-28 18:02:12 |
|      77      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:15 |
|      78      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:18 |
|      79      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:21 |
|      80      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:24 |
|      81      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:27 |
|      82      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:30 |
|      83      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:33 |
|      84      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:37 |
|      85      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:40 |
|      86      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:43 |
|      87      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:46 |
|      88      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:49 |
|      89      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:52 |
|      90      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:55 |
|      91      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:02:58 |
|      92      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:01 |
|      93      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:04 |
|      94      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:07 |
|      95      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:10 |
|      96      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:13 |
|      97      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:16 |
|      98      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:19 |
|      99      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:22 |
|     100      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:25 |
|     101      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:28 |
|     102      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:31 |
|     103      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:34 |
|     104      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:38 |
|     105      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:41 |
|     106      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:44 |
|     107      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:47 |
|     108      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:50 |
|     109      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:53 |
|     110      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:56 |
|     111      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:03:59 |
|     112      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:02 |
|     113      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:05 |
|     114      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:08 |
|     115      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:11 |
|     116      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:14 |
|     117      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:17 |
|     118      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:20 |
|     119      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:23 |
|     120      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:26 |
|     121      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:29 |
|     122      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:33 |
|     123      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:36 |
|     124      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:39 |
|     125      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:42 |
|     126      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:45 |
|     127      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:48 |
|     128      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:51 |
|     129      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:54 |
|     130      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:04:57 |
|     131      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:00 |
|     132      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:03 |
|     133      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:06 |
|     134      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:09 |
|     135      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:12 |
|     136      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:15 |
|     137      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:18 |
|     138      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:21 |
|     139      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:25 |
|     140      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:28 |
|     141      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:31 |
|     142      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:34 |
|     143      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:37 |
|     144      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:40 |
|     145      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:43 |
|     146      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:46 |
|     147      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:49 |
|     148      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:52 |
|     149      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:55 |
|     150      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:05:58 |
|     151      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:01 |
|     152      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:04 |
|     153      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:07 |
|     154      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:10 |
|     155      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:13 |
|     156      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:17 |
|     157      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:20 |
|     158      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:23 |
|     159      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:26 |
|     160      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:29 |
|     161      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:32 |
|     162      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:35 |
|     163      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:38 |
|     164      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:41 |
|     165      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:44 |
|     166      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:47 |
|     167      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:50 |
|     168      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:53 |
|     169      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:56 |
|     170      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:06:59 |
|     171      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:02 |
|     172      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:05 |
|     173      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:08 |
|     174      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:12 |
|     175      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:15 |
|     176      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:18 |
|     177      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:21 |
|     178      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:24 |
|     179      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:27 |
|     180      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:30 |
|     181      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:33 |
|     182      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:36 |
|     183      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:39 |
|     184      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:42 |
|     185      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:45 |
|     186      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:48 |
|     187      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:51 |
|     188      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:54 |
|     189      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:07:57 |
|     190      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:00 |
|     191      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:04 |
|     192      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:07 |
|     193      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:10 |
|     194      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:13 |
|     195      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:16 |
|     196      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:19 |
|     197      |   52   |    45   |    7.3    |  548840 minor 32 major | 2020-04-28 18:08:22 |
|     198      |   23   |    20   |    3.3    |  717848 minor 1 major  | 2020-04-28 18:08:25 |
|     199      |   23   |    20   |    3.3    |  717848 minor 1 major  | 2020-04-28 18:08:28 |
|     200      |   23   |    20   |    3.3    |  717848 minor 1 major  | 2020-04-28 18:08:31 |
+--------------+--------+---------+-----------+------------------------+---------------------+

电池温度报告:
+--------------+----------------+---------------------+
| serialNumber | temperature(℃) |      timestamp      |
+--------------+----------------+---------------------+
|      1       |      34.5      | 2020-04-28 17:58:24 |
|      2       |      34.5      | 2020-04-28 17:58:27 |
|      3       |      34.5      | 2020-04-28 17:58:30 |
|      4       |      34.5      | 2020-04-28 17:58:33 |
|      5       |      34.5      | 2020-04-28 17:58:36 |
|      6       |      34.5      | 2020-04-28 17:58:39 |
|      7       |      34.5      | 2020-04-28 17:58:42 |
|      8       |      34.5      | 2020-04-28 17:58:45 |
|      9       |      34.5      | 2020-04-28 17:58:48 |
|      10      |      34.5      | 2020-04-28 17:58:51 |
|      11      |      34.5      | 2020-04-28 17:58:55 |
|      12      |      34.5      | 2020-04-28 17:58:58 |
|      13      |      34.5      | 2020-04-28 17:59:01 |
|      14      |      34.5      | 2020-04-28 17:59:04 |
|      15      |      34.5      | 2020-04-28 17:59:07 |
|      16      |      34.5      | 2020-04-28 17:59:10 |
|      17      |      34.5      | 2020-04-28 17:59:13 |
|      18      |      34.5      | 2020-04-28 17:59:16 |
|      19      |      34.5      | 2020-04-28 17:59:19 |
|      20      |      34.5      | 2020-04-28 17:59:22 |
|      21      |      34.5      | 2020-04-28 17:59:25 |
|      22      |      34.5      | 2020-04-28 17:59:28 |
|      23      |      34.5      | 2020-04-28 17:59:31 |
|      24      |      34.5      | 2020-04-28 17:59:34 |
|      25      |      34.5      | 2020-04-28 17:59:37 |
|      26      |      34.5      | 2020-04-28 17:59:40 |
|      27      |      34.5      | 2020-04-28 17:59:43 |
|      28      |      34.5      | 2020-04-28 17:59:46 |
|      29      |      34.5      | 2020-04-28 17:59:50 |
|      30      |      34.5      | 2020-04-28 17:59:53 |
|      31      |      34.5      | 2020-04-28 17:59:56 |
|      32      |      34.5      | 2020-04-28 17:59:59 |
|      33      |      34.5      | 2020-04-28 18:00:02 |
|      34      |      34.5      | 2020-04-28 18:00:05 |
|      35      |      34.5      | 2020-04-28 18:00:08 |
|      36      |      34.5      | 2020-04-28 18:00:11 |
|      37      |      34.5      | 2020-04-28 18:00:14 |
|      38      |      34.5      | 2020-04-28 18:00:17 |
|      39      |      34.5      | 2020-04-28 18:00:20 |
|      40      |      34.5      | 2020-04-28 18:00:23 |
|      41      |      34.5      | 2020-04-28 18:00:26 |
|      42      |      34.5      | 2020-04-28 18:00:29 |
|      43      |      34.5      | 2020-04-28 18:00:32 |
|      44      |      34.5      | 2020-04-28 18:00:35 |
|      45      |      34.5      | 2020-04-28 18:00:38 |
|      46      |      34.5      | 2020-04-28 18:00:41 |
|      47      |      34.5      | 2020-04-28 18:00:44 |
|      48      |      34.5      | 2020-04-28 18:00:47 |
|      49      |      34.5      | 2020-04-28 18:00:51 |
|      50      |      34.5      | 2020-04-28 18:00:54 |
|      51      |      34.5      | 2020-04-28 18:00:57 |
|      52      |      34.5      | 2020-04-28 18:01:00 |
|      53      |      34.5      | 2020-04-28 18:01:03 |
|      54      |      34.5      | 2020-04-28 18:01:06 |
|      55      |      34.5      | 2020-04-28 18:01:09 |
|      56      |      34.5      | 2020-04-28 18:01:12 |
|      57      |      34.5      | 2020-04-28 18:01:15 |
|      58      |      34.5      | 2020-04-28 18:01:18 |
|      59      |      34.5      | 2020-04-28 18:01:21 |
|      60      |      34.5      | 2020-04-28 18:01:24 |
|      61      |      34.5      | 2020-04-28 18:01:27 |
|      62      |      34.5      | 2020-04-28 18:01:30 |
|      63      |      34.5      | 2020-04-28 18:01:33 |
|      64      |      34.5      | 2020-04-28 18:01:36 |
|      65      |      34.5      | 2020-04-28 18:01:39 |
|      66      |      34.5      | 2020-04-28 18:01:42 |
|      67      |      34.5      | 2020-04-28 18:01:45 |
|      68      |      34.5      | 2020-04-28 18:01:48 |
|      69      |      34.5      | 2020-04-28 18:01:52 |
|      70      |      34.5      | 2020-04-28 18:01:55 |
|      71      |      34.5      | 2020-04-28 18:01:58 |
|      72      |      34.5      | 2020-04-28 18:02:01 |
|      73      |      34.5      | 2020-04-28 18:02:04 |
|      74      |      34.5      | 2020-04-28 18:02:07 |
|      75      |      34.5      | 2020-04-28 18:02:10 |
|      76      |      34.5      | 2020-04-28 18:02:13 |
|      77      |      34.5      | 2020-04-28 18:02:16 |
|      78      |      34.5      | 2020-04-28 18:02:19 |
|      79      |      34.5      | 2020-04-28 18:02:22 |
|      80      |      34.5      | 2020-04-28 18:02:25 |
|      81      |      34.5      | 2020-04-28 18:02:28 |
|      82      |      34.5      | 2020-04-28 18:02:31 |
|      83      |      34.5      | 2020-04-28 18:02:34 |
|      84      |      34.5      | 2020-04-28 18:02:37 |
|      85      |      34.5      | 2020-04-28 18:02:40 |
|      86      |      34.5      | 2020-04-28 18:02:43 |
|      87      |      34.5      | 2020-04-28 18:02:46 |
|      88      |      34.5      | 2020-04-28 18:02:49 |
|      89      |      34.5      | 2020-04-28 18:02:53 |
|      90      |      34.5      | 2020-04-28 18:02:56 |
|      91      |      34.5      | 2020-04-28 18:02:59 |
|      92      |      34.5      | 2020-04-28 18:03:02 |
|      93      |      34.5      | 2020-04-28 18:03:05 |
|      94      |      34.5      | 2020-04-28 18:03:08 |
|      95      |      34.5      | 2020-04-28 18:03:11 |
|      96      |      34.5      | 2020-04-28 18:03:14 |
|      97      |      34.5      | 2020-04-28 18:03:17 |
|      98      |      34.5      | 2020-04-28 18:03:20 |
|      99      |      34.5      | 2020-04-28 18:03:23 |
|     100      |      34.5      | 2020-04-28 18:03:26 |
|     101      |      34.5      | 2020-04-28 18:03:29 |
|     102      |      34.5      | 2020-04-28 18:03:32 |
|     103      |      34.5      | 2020-04-28 18:03:35 |
|     104      |      34.5      | 2020-04-28 18:03:38 |
|     105      |      34.5      | 2020-04-28 18:03:41 |
|     106      |      34.5      | 2020-04-28 18:03:44 |
|     107      |      34.5      | 2020-04-28 18:03:47 |
|     108      |      34.5      | 2020-04-28 18:03:51 |
|     109      |      34.5      | 2020-04-28 18:03:54 |
|     110      |      34.5      | 2020-04-28 18:03:57 |
|     111      |      34.5      | 2020-04-28 18:04:00 |
|     112      |      34.5      | 2020-04-28 18:04:03 |
|     113      |      34.5      | 2020-04-28 18:04:06 |
|     114      |      34.5      | 2020-04-28 18:04:09 |
|     115      |      34.5      | 2020-04-28 18:04:12 |
|     116      |      34.5      | 2020-04-28 18:04:15 |
|     117      |      34.5      | 2020-04-28 18:04:18 |
|     118      |      34.5      | 2020-04-28 18:04:21 |
|     119      |      34.5      | 2020-04-28 18:04:24 |
|     120      |      34.5      | 2020-04-28 18:04:27 |
|     121      |      34.5      | 2020-04-28 18:04:30 |
|     122      |      34.5      | 2020-04-28 18:04:33 |
|     123      |      34.5      | 2020-04-28 18:04:36 |
|     124      |      34.5      | 2020-04-28 18:04:39 |
|     125      |      34.5      | 2020-04-28 18:04:42 |
|     126      |      34.5      | 2020-04-28 18:04:46 |
|     127      |      34.5      | 2020-04-28 18:04:49 |
|     128      |      34.5      | 2020-04-28 18:04:52 |
|     129      |      34.5      | 2020-04-28 18:04:55 |
|     130      |      34.5      | 2020-04-28 18:04:58 |
|     131      |      34.5      | 2020-04-28 18:05:01 |
|     132      |      34.5      | 2020-04-28 18:05:04 |
|     133      |      34.5      | 2020-04-28 18:05:07 |
|     134      |      34.5      | 2020-04-28 18:05:10 |
|     135      |      34.5      | 2020-04-28 18:05:13 |
|     136      |      34.5      | 2020-04-28 18:05:16 |
|     137      |      34.5      | 2020-04-28 18:05:19 |
|     138      |      34.5      | 2020-04-28 18:05:22 |
|     139      |      34.5      | 2020-04-28 18:05:25 |
|     140      |      34.5      | 2020-04-28 18:05:28 |
|     141      |      34.5      | 2020-04-28 18:05:31 |
|     142      |      34.5      | 2020-04-28 18:05:34 |
|     143      |      34.5      | 2020-04-28 18:05:37 |
|     144      |      34.5      | 2020-04-28 18:05:41 |
|     145      |      34.5      | 2020-04-28 18:05:44 |
|     146      |      34.5      | 2020-04-28 18:05:47 |
|     147      |      34.5      | 2020-04-28 18:05:50 |
|     148      |      34.5      | 2020-04-28 18:05:53 |
|     149      |      34.5      | 2020-04-28 18:05:56 |
|     150      |      34.5      | 2020-04-28 18:05:59 |
|     151      |      34.5      | 2020-04-28 18:06:02 |
|     152      |      34.5      | 2020-04-28 18:06:05 |
|     153      |      34.5      | 2020-04-28 18:06:08 |
|     154      |      34.5      | 2020-04-28 18:06:11 |
|     155      |      34.5      | 2020-04-28 18:06:14 |
|     156      |      34.5      | 2020-04-28 18:06:17 |
|     157      |      34.5      | 2020-04-28 18:06:20 |
